gpsc	stCount	st
48	23	275, 346, 1203, 1835, 1961, 3201, 3557, 7052, 7135, 7629, 11722, 12127, 12614, 12816, 13177, 15725, 15881, 15909, 15973, 16027, 16031, 16054, 16102
49	12	392, 440, 739, 1924, 6189, 8504, 10564, 10962, 10986, 11708, 13918, 14438
50	29	113, 114, 123, 133, 637, 638, 1073, 1485, 1515, 1516, 1711, 1844, 1923, 1992, 2429, 3060, 5852, 7505, 9511, 9512, 9513, 9565, 9921, 10833, 11900, 12829, 14470, 15182, 15184
51	8	458, 7545, 11128, 11332, 12142, 12590, 12606, 14389
52	10	5647, 8713, 10595, 10702, 10793, 10849, 10937, 11757, 12581, 12595
53	23	847, 2124, 5262, 5270, 7324, 10970, 11714, 12191, 12216, 12285, 12292, 12397, 12419, 12804, 12891, 12892, 14424, 15005, 15009, 15941, 15951, 16132, 16147
54	36	706, 3454, 4221, 4881, 4908, 5283, 5361, 5778, 5897, 6314, 6317, 6530, 7058, 7059, 7889, 8763, 9473, 10688, 10789, 10797, 10876, 10895, 10944, 11680, 12326, 12340, 12480, 12481, 12532, 12558, 12567, 14441, 15679, 16842, 16852, 17099
55	4	3524, 3774, 3776, 13950
56	29	1148, 1759, 2416, 5027, 5067, 5068, 7048, 7141, 8672, 9531, 10675, 10792, 10855, 11767, 11768, 11769, 11915, 12151, 12383, 12820, 12951, 14502, 14509, 14536, 14537, 14538, 15698, 15808, 15918
57	27	444, 533, 568, 1111, 1684, 1766, 1994, 3358, 3548, 6029, 6489, 7077, 8289, 8948, 10453, 10479, 10821, 11066, 12144, 12462, 12582, 12682, 14464, 15589, 16695, 16711, 16834
58	14	4036, 5516, 5715, 5716, 5734, 10546, 10613, 11689, 11691, 11762, 12411, 12690, 12775, 15602
59	9	558, 10175, 10222, 10493, 10766, 12713, 12809, 14528, 15540
60	8	448, 3265, 7592, 7593, 8356, 9810, 10500, 11882
61	58	214, 605, 698, 1026, 1794, 1871, 4160, 4424, 5469, 5474, 5523, 5726, 5964, 6039, 6403, 6583, 6833, 8829, 8835, 9526, 9537, 9842, 9926, 10593, 10625, 10668, 10689, 10715, 10781, 10946, 11010, 11097, 11346, 11737, 11738, 11744, 11902, 12135, 12265, 12302, 12359, 12388, 12468, 12579, 12800, 13704, 13868, 13921, 13929, 14549, 14584, 14973, 14991, 15429, 16848, 17077, 17105, 17114
62	19	913, 914, 1736, 1737, 4940, 5354, 6547, 9489, 10801, 10964, 12166, 12200, 12362, 15040, 15814, 16134, 16150, 16278, 16284
63	3	4377, 6767, 6768
64	5	65, 460, 9001, 10830, 12759
65	12	701, 1144, 2053, 4370, 15735, 15745, 15747, 15774, 15825, 15854, 15913, 15933
66	1	6770
67	17	1233, 1381, 4350, 4819, 6145, 6239, 8316, 8425, 10779, 10994, 11645, 12544, 12596, 14476, 14485, 15997, 17092
68	24	102, 542, 1016, 2192, 6236, 6245, 7091, 7262, 8311, 8317, 8681, 9280, 9484, 10746, 11096, 11698, 11699, 12141, 12584, 12746, 12824, 16866, 17116, 17121
69	12	2647, 3824, 4965, 5448, 5452, 5453, 6011, 7429, 9762, 15959, 15988, 16002
70	6	259, 1221, 7026, 13938, 13944, 13954
71	2	5103, 11735
72	12	198, 2690, 3003, 3329, 7425, 7426, 10777, 11721, 12215, 12689, 12811, 13881
73	1	99
75	2	452, 16297
76	17	76, 490, 681, 793, 1092, 3037, 3403, 4237, 4363, 4724, 6808, 9467, 10913, 11693, 12365, 16206, 16259
77	25	185, 7307, 7738, 10661, 10686, 10720, 10726, 10845, 10846, 10871, 11719, 12528, 16878, 16905, 16914, 16934, 16941, 16944, 16961, 16962, 17100, 17104, 17108, 17112, 17135
